기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지
2000.01,방글라데시,"1,794","40,612",88,"1,512","39,100"
2000.01,아르헨티나,"1,068","40,484",86,"17,331","23,153"
2000.01,포루투갈,577,"39,498",82,"1,087","38,411"
2000.01,칠레,800,"38,764",214,"69,413","-30,649"
2000.01,리비아,227,"37,814",0,0,"37,814"
2000.01,아일랜드,559,"36,603",475,"47,265","-10,662"
2000.01,과테말라,852,"32,898",9,43,"32,855"
2000.01,파키스탄,700,"31,381",744,"21,476","9,904"
2000.01,베네주엘라,295,"30,614",25,853,"29,762"
2000.01,이집트,627,"29,898",60,"11,703","18,196"
2000.01,스리랑카,"1,290","27,374",175,"4,457","22,917"
2000.01,스위스,723,"25,068","2,042","70,062","-44,993"
2000.01,스웨덴,"1,191","24,755","1,437","43,905","-19,150"
2000.01,미얀마,567,"21,710",52,"1,465","20,245"
2000.01,뉴질랜드,"1,060","21,488",924,"55,120","-33,632"
2000.01,루마니아,155,"19,616",52,"2,169","17,447"
2000.01,페루,334,"19,180",41,"5,675","13,506"
2000.01,시리아,367,"18,778",5,437,"18,341"
2000.01,알제리,126,"18,590",1,0,"18,590"
2000.01,오스트리아,535,"16,866",713,"17,513",-648
2000.01,나이지리아,570,"15,944",3,52,"15,892"
2000.01,기타국,410,"15,488","7,106","1,177","14,310"
2000.01,콜롬비아,363,"15,160",54,"4,835","10,325"
2000.01,쿠웨이트,458,"14,967",56,"235,193","-220,226"
2000.01,노르웨이,587,"14,839",566,"21,802","-6,963"
2000.01,헝가리,478,"14,611",219,"7,139","7,472"
2000.01,우즈베크,141,"14,252",95,"11,888","2,364"
2000.01,오만,165,"13,134",14,"89,591","-76,457"
2000.01,우루과이,305,"12,624",16,930,"11,694"
2000.01,우크라이나,272,"11,690",142,"30,175","-18,485"
2000.01,레바논,303,"11,145",8,122,"11,022"
2000.01,온두라스,212,"11,047",2,4,"11,043"
2000.01,요르단,374,"10,519",12,"4,706","5,814"
2000.01,슬로베니아,127,"9,947",39,593,"9,354"
2000.01,도미니카 공화국,327,"9,782",7,"3,785","5,997"
2000.01,아프카니스탄,775,"8,869",0,0,"8,869"
2000.01,괌,152,"8,787",14,"20,565","-11,778"
2000.01,코스타리카,286,"8,347",35,"3,171","5,176"
2000.01,푸에르토리코,125,"7,127",64,"1,786","5,341"
2000.01,엘살바도르,210,"6,964",7,31,"6,933"
2000.01,모로코,138,"6,791",60,"1,007","5,784"
2000.01,세인트 빈센트 그레나딘,3,"6,328",0,0,"6,328"
2000.01,캄보디아,358,"6,224",9,139,"6,085"
2000.01,튀니지,125,"6,121",6,92,"6,029"
2000.01,북마리아나 군도,304,"4,904",1,44,"4,860"
2000.01,가나,217,"4,602",5,532,"4,070"
2000.01,체코공화국,230,"4,348",135,"6,337","-1,989"
2000.01,크로아티아,47,"3,837",7,67,"3,771"
2000.01,수단,58,"3,697",7,112,"3,585"
2000.01,예맨,99,"3,663",13,"58,567","-54,905"
2000.01,카자흐스탄,170,"3,658",29,"6,070","-2,413"
2000.01,니카라과,108,"3,619",0,28,"3,592"
2000.01,몰타,61,"3,455",89,"3,304",152
2000.01,슬로바키아,33,"3,189",18,872,"2,317"
2000.01,이디오피아,34,"3,187",1,0,"3,187"
2000.01,사이프러스,139,"3,086",3,14,"3,072"
2000.01,트리니다드 토바고,73,"3,058",0,0,"3,058"
2000.01,마카오,138,"2,953",4,75,"2,878"
2000.01,바레인,116,"2,834",66,"10,873","-8,038"
2000.01,케냐,102,"2,808",6,109,"2,699"
2000.01,몽골,286,"2,784",9,122,"2,662"
2000.01,파라과이,82,"2,696",2,0,"2,695"
2000.01,에쿠아도르,87,"1,986",17,473,"1,513"
2000.01,세네갈,61,"1,958",6,104,"1,854"
2000.01,코트디봐르,70,"1,944",1,137,"1,807"
2000.01,네팔,84,"1,873",12,32,"1,841"
2000.01,팔라우,12,"1,847",1,29,"1,818"
2000.01,적도 기니,6,"1,834",2,431,"1,403"
2000.01,지부티,44,"1,820",0,0,"1,820"
2000.01,불가리아,129,"1,725",30,858,866
2000.01,투르크멘,38,"1,647",2,22,"1,626"
2000.01,자마이카,55,"1,635",2,0,"1,635"
2000.01,레소토,10,"1,543",0,0,"1,543"
2000.01,아이티,40,"1,461",0,0,"1,461"
2000.01,피지,66,"1,423",25,"4,008","-2,585"
2000.01,토고,44,"1,421",0,0,"1,421"
2000.01,모리셔스,83,"1,355",12,449,906
2000.01,모잠비크,29,"1,331",4,118,"1,213"
2000.01,볼리비아,36,"1,325",3,"1,649",-324
2000.01,불령 리유니온 코모도 제도,37,"1,221",0,0,"1,221"
2000.01,짐바브웨,43,"1,184",5,122,"1,062"
2000.01,키르기스스탄,19,"1,154",0,0,"1,154"
2000.01,에스토니아,29,984,9,447,537
2000.01,브루나이,45,968,4,"40,766","-39,798"
2000.01,마티니크,20,933,0,0,933
2000.01,기니,20,846,9,"27,747","-26,901"
2000.01,탄자니아,30,827,8,125,703
2000.01,앙골라,34,808,5,"126,610","-125,802"
2000.01,베닝,39,803,0,0,803
2000.01,마세도니아,14,793,0,0,793
2000.01,도미니카,13,791,2,19,772
2000.01,파푸아 뉴기니,52,702,24,"18,867","-18,165"
2000.01,라트비아,32,688,1,0,688
2000.01,아메리칸 사모아,37,672,0,0,672
2000.01,아루바,12,626,0,0,626
2000.01,스와질랜드,40,616,24,"1,911","-1,295"
2000.01,불령 폴리네시아,17,566,0,0,566
2000.01,버뮤다,14,535,0,0,535
2000.01,리투아니아,53,531,15,"1,037",-506
2000.01,아이슬란드,27,501,20,408,93
2000.01,카메룬,21,497,3,235,261
2000.01,아제르바이잔,9,487,0,0,487
2000.01,라오스,32,483,2,95,388
2000.01,마다카스카르,15,476,0,16,460
2000.01,마이크로네시아,40,463,1,2,461
2000.01,과델로프,23,458,0,0,458
2000.01,이라크,3,456,1,"27,216","-26,760"
2000.01,말라위,8,452,0,0,452
2000.01,나미비아,6,357,0,0,357
2000.01,니제르,7,356,6,"75,227","-74,872"
2000.01,사모아,31,345,1,0,344
2000.01,뉴 칼레도니아,32,334,2,"6,289","-5,955"
2000.01,조지아,8,312,10,303,9
2000.01,마샬군도,14,294,0,0,294
2000.01,네덜란드 열도,16,263,4,6,257
2000.01,바베이도스,20,256,0,0,256
2000.01,루안다,3,248,0,0,248
2000.01,콩고,6,217,6,"27,602","-27,384"
2000.01,룩셈부르그,11,216,33,"6,142","-5,926"
2000.01,알바니아,8,215,0,0,215
2000.01,우간다,12,211,1,26,184
2000.01,수리남,15,207,0,0,207
2000.01,타지크,6,203,10,264,-60
2000.01,에리트리아,12,193,2,1,192
2000.01,잠비아,11,190,2,48,142
2000.01,바누아투,12,186,4,156,30
2000.01,베라루스,53,185,23,"1,906","-1,721"
2000.01,가봉,10,176,6,"1,173",-997
2000.01,보츠와나,12,167,1,10,158
2000.01,안티가 바부다,4,155,1,15,141
2000.01,벨리제,8,154,7,105,49
2000.01,가이아나,2,145,0,0,145
2000.01,영령 캐이맨 군도,9,124,0,0,124
2000.01,앙귈라,4,123,0,0,123
2000.01,모리타니,4,94,1,86,8
2000.01,몰도바,7,94,0,0,94
2000.01,부룬디,4,92,0,0,92
2000.01,불령 가이아나,5,78,0,0,78
2000.01,몰디브,8,77,0,0,77
2000.01,부탄,3,68,0,0,68
2000.01,아르메니아,3,57,0,0,57
2000.01,보스니아-헤르체고비나,6,54,0,0,54
2000.01,시에라 리온,2,41,1,13,27
2000.01,말리,3,40,3,161,-121
2000.01,키리바티,5,40,0,0,40
2000.01,모나코,1,39,15,200,-162
2000.01,통가,4,36,0,0,36
2000.01,메요트,1,25,0,0,25
2000.01,투발루,1,24,0,0,24
2000.01,크리스마스 아일랜드,1,22,2,47,-25
2000.01,부르키나 파소,5,21,0,0,21
2000.01,노폴크 아일랜드,1,20,0,0,20
2000.01,그레나다,5,19,0,0,19
2000.01,상토메 프린스페,1,19,0,0,19
2000.01,미령 버진군도,3,19,0,0,19
2000.01,세인트 루시아,3,10,0,0,10
2000.01,중앙아프리카공화국,1,8,0,0,8
2000.01,안타티카,1,3,0,0,3
2000.01,티모르,1,3,0,0,3
2000.01,소말리아,0,0,0,0,0
2000.01,챠드,0,0,1,74,-74
2000.01,세인트 헬레나,0,0,3,257,-257
2000.01,그린랜드,0,0,1,78,-78
2000.01,감비아,0,0,2,63,-63
2000.01,기네비소,1,0,5,326,-326
2000.01,안도라,0,0,1,26,-26
2000.01,코모로스,0,0,1,0,0
2000.01,세인트 키츠 네비스,0,0,1,5,-5
2000.01,북한,0,0,11,866,-866
2000.01,솔로몬 군도,1,0,3,925,-925
2000.01,리히텐슈타인,1,0,2,26,-26
2000.01,세인트 피레 미켈론,0,0,1,0,0
2000.01,콩고민주공화국,0,0,0,0,0
2000.01,산마리노,1,0,0,0,0
2000.02,미국,"43,757","2,698,900","52,931","2,241,520","457,379"
2000.02,일본,"35,946","1,485,597","67,460","2,430,091","-944,493"
2000.02,중국,"24,131","1,190,122","25,534","834,291","355,832"
2000.02,홍콩,"18,420","779,803","4,780","103,089","676,714"
2000.02,대만,"7,428","571,253","9,791","296,743","274,509"
2000.02,싱가포르,"6,964","568,396","6,609","265,066","303,330"
2000.02,영국,"6,076","321,987","5,220","178,621","143,366"
2000.02,독일,"6,500","305,191","14,201","330,405","-25,214"
2000.02,말레이시아,"5,188","265,113","4,580","392,270","-127,157"
2000.02,필리핀,"5,182","231,466","2,592","137,892","93,574"
2000.02,인도네시아,"8,154","222,361","2,407","443,698","-221,337"
2000.02,네덜란드,"3,561","180,606","1,938","90,031","90,575"
2000.02,호주,"4,812","165,656","2,343","494,500","-328,844"
2000.02,아랍에미리트 연합,"3,992","163,707",242,"352,743","-189,036"
2000.02,그리스,649,"144,772",48,"2,846","141,926"
2000.02,캐나다,"4,633","143,536","2,169","169,201","-25,665"
2000.02,멕시코,"3,532","140,018",504,"29,094","110,924"
2000.02,인도,"2,913","139,528","1,590","62,395","77,133"
2000.02,태국,"5,305","139,513","2,925","107,497","32,016"
2000.02,스페인,"2,570","125,908","1,092","20,523","105,385"
2000.02,프랑스,"2,932","122,309","4,474","180,936","-58,627"
2000.02,이탈리아,"2,815","121,835","6,370","112,195","9,639"
2000.02,파나마,419,"117,190",10,"4,673","112,517"
2000.02,베트남,"4,146","111,339",916,"20,890","90,449"
2000.02,브라질,"1,672","93,215",453,"82,207","11,008"
2000.02,덴마크,606,"93,142","1,155","27,294","65,848"
2000.02,사우디아라비아,"1,799","92,343",214,"747,849","-655,506"
2000.02,벨기에,"1,529","69,591","1,147","62,130","7,461"
2000.02,노르웨이,479,"65,635",576,"19,788","45,847"
2000.02,터키,"1,268","62,783",107,"4,005","58,778"
2000.02,이란,543,"61,039",67,"145,570","-84,531"
2000.02,러시아 연방,"1,589","54,929",726,"131,813","-76,883"
2000.02,바하마,31,"53,817",2,212,"53,605"
2000.02,폴란드,"1,170","50,200",81,"5,705","44,495"
2000.02,핀란드,760,"50,081",628,"45,590","4,491"
2000.02,칠레,"1,039","48,704",231,"74,450","-25,746"
2000.02,스위스,662,"48,538","2,289","82,554","-34,017"
2000.02,기타국,390,"48,487","7,131","1,289","47,198"
2000.02,방글라데시,"1,791","44,013",99,"1,402","42,611"
2000.02,이집트,738,"41,701",56,"10,790","30,911"
2000.02,이스라엘,"1,092","39,719",468,"35,271","4,448"
2000.02,스리랑카,"1,752","39,602",165,"3,986","35,616"
2000.02,아일랜드,526,"39,384",496,"50,863","-11,479"
2000.02,남아프리카공화국,"1,530","35,910",444,"66,198","-30,289"
2000.02,파키스탄,"1,022","35,547",774,"21,699","13,849"
2000.02,영령 캐이맨 군도,9,"34,661",0,0,"34,661"
2000.02,과테말라,805,"29,334",20,"2,346","26,988"
2000.02,포루투갈,560,"27,111",87,"1,230","25,881"
2000.02,미얀마,520,"27,001",55,"1,988","25,013"
2000.02,알제리,104,"25,403",1,111,"25,292"
2000.02,베네주엘라,295,"25,085",27,961,"24,124"
2000.02,스웨덴,995,"21,752","1,343","39,674","-17,922"
2000.02,뉴질랜드,"1,025","20,573",835,"49,984","-29,411"
2000.02,아르헨티나,600,"19,132",63,"14,786","4,346"
2000.02,우즈베크,151,"18,122",85,"10,049","8,072"
2000.02,오스트리아,437,"16,919",740,"14,559","2,360"
2000.02,요르단,563,"16,275",10,122,"16,154"
2000.02,나이지리아,811,"15,818",1,"22,371","-6,553"
2000.02,쿠웨이트,399,"15,415",51,"167,392","-151,977"
2000.02,헝가리,599,"15,360",273,"7,192","8,168"
2000.02,페루,421,"14,111",39,"4,532","9,579"
2000.02,카타르,122,"13,642",30,"175,598","-161,956"
2000.02,도미니카 공화국,414,"13,305",4,73,"13,232"
2000.02,루마니아,153,"13,009",43,"2,015","10,993"
2000.02,오만,141,"12,160",22,"88,145","-75,986"
2000.02,콜롬비아,287,"12,006",30,"4,758","7,247"
2000.02,우크라이나,323,"10,229",88,"29,968","-19,739"
2000.02,온두라스,202,"9,837",16,"2,098","7,739"
2000.02,우루과이,234,"9,782",9,377,"9,404"
2000.02,리비아,198,"9,552",1,6,"9,546"
2000.02,튀니지,127,"9,244",6,106,"9,137"
2000.02,체코공화국,262,"8,991",150,"7,570","1,421"
2000.02,시리아,183,"8,872",4,174,"8,698"
2000.02,코스타리카,313,"8,767",37,"8,092",675
2000.02,캄보디아,356,"7,637",4,100,"7,537"
2000.02,모로코,149,"7,550",40,"4,175","3,375"
2000.02,엘살바도르,200,"6,769",6,36,"6,733"
2000.02,푸에르토리코,111,"6,047",36,"1,282","4,765"
2000.02,예맨,145,"5,808",10,"53,647","-47,838"
2000.02,레바논,203,"5,701",10,231,"5,470"
2000.02,북마리아나 군도,284,"5,363",4,164,"5,199"
2000.02,아프카니스탄,437,"4,670",0,0,"4,670"
2000.02,가나,185,"4,023",1,1,"4,022"
2000.02,수단,59,"3,776",22,"20,189","-16,413"
2000.02,에쿠아도르,133,"3,729",22,"83,491","-79,761"
2000.02,슬로베니아,108,"3,518",36,778,"2,740"
2000.02,마카오,141,"3,454",6,55,"3,399"
2000.02,몽골,262,"3,432",13,277,"3,155"
2000.02,케냐,92,"3,161",13,164,"2,996"
2000.02,카자흐스탄,132,"3,128",28,"2,636",493
2000.02,파라과이,95,"2,949",3,13,"2,936"
2000.02,지부티,47,"2,938",0,1,"2,937"
2000.02,니카라과,142,"2,823",0,0,"2,823"
2000.02,사이프러스,101,"2,365",2,52,"2,313"
2000.02,이디오피아,40,"2,233",2,102,"2,132"
2000.02,바레인,113,"2,218",69,"14,022","-11,804"
2000.02,코트디봐르,59,"2,140",0,0,"2,140"
2000.02,괌,144,"2,107",15,"1,066","1,040"
2000.02,탄자니아,38,"2,046",3,129,"1,916"
2000.02,뉴 칼레도니아,51,"1,785",1,"4,878","-3,093"
2000.02,투르크멘,23,"1,529",0,0,"1,529"
2000.02,짐바브웨,58,"1,483",8,206,"1,277"
2000.02,불가리아,95,"1,482",43,565,917
2000.02,몰타,48,"1,453",50,"2,118",-665
2000.02,리투아니아,82,"1,400",17,"1,068",333
2000.02,불령 리유니온 코모도 제도,32,"1,393",0,0,"1,393"
2000.02,트리니다드 토바고,69,"1,363",0,0,"1,363"
2000.02,네팔,67,"1,319",18,73,"1,246"
2000.02,크로아티아,30,"1,302",4,31,"1,270"
2000.02,토고,41,"1,298",1,0,"1,298"
2000.02,마다카스카르,47,"1,292",2,24,"1,268"
2000.02,모리셔스,85,"1,286",3,16,"1,270"
2000.02,레소토,6,"1,196",0,0,"1,196"
2000.02,볼리비아,55,"1,184",6,48,"1,136"
2000.02,베닝,39,"1,164",0,0,"1,164"
2000.02,파푸아 뉴기니,61,"1,161",21,"15,328","-14,167"
2000.02,키르기스스탄,18,"1,120",0,0,"1,120"
2000.02,자마이카,65,"1,098",2,20,"1,078"
2000.02,과델로프,27,"1,062",0,0,"1,062"
2000.02,아이슬란드,24,975,15,273,702
2000.02,라트비아,46,945,0,0,945
2000.02,마티니크,22,872,0,0,872
2000.02,아이티,35,819,0,0,819
2000.02,몰도바,22,718,0,0,718
2000.02,슬로바키아,35,667,18,628,39
2000.02,마세도니아,19,665,0,0,665
2000.02,세네갈,29,615,4,100,515
2000.02,보츠와나,16,608,0,0,608
2000.02,에리트리아,30,595,2,0,595
2000.02,팔라우,14,588,0,0,588
2000.02,브루나이,45,572,6,"32,061","-31,489"
2000.02,카메룬,18,555,2,14,541
2000.02,앙골라,30,537,4,"76,871","-76,334"
2000.02,말리,4,535,1,0,535
2000.02,스와질랜드,22,525,37,"1,755","-1,230"
2000.02,콩고,9,519,5,"35,145","-34,626"
2000.02,에스토니아,36,492,6,"4,416","-3,924"
2000.02,베라루스,28,416,25,"3,152","-2,736"
2000.02,피지,30,412,3,282,129
2000.02,부르키나 파소,6,390,0,0,390
2000.02,마이크로네시아,45,381,0,0,381
2000.02,모잠비크,15,343,1,29,313
2000.02,버뮤다,14,321,0,0,321
2000.02,도미니카,15,321,4,93,227
2000.02,아제르바이잔,13,320,0,0,320
2000.02,모리타니,7,308,0,0,308
2000.02,소말리아,2,288,1,1,287
2000.02,우간다,7,275,1,29,246
2000.02,루안다,4,267,1,3,263
2000.02,라오스,26,254,1,0,254
2000.02,룩셈부르그,30,239,32,"2,845","-2,606"
2000.02,시에라 리온,6,238,0,0,238
2000.02,기니,16,238,7,321,-83
2000.02,수리남,14,219,0,4,215
2000.02,부탄,12,214,0,0,214
2000.02,벨리제,11,207,2,36,171
2000.02,알바니아,21,201,0,0,201
2000.02,조지아,14,201,15,376,-175
2000.02,바베이도스,15,191,0,0,191
2000.02,안티가 바부다,8,153,0,0,153
2000.02,챠드,1,129,0,0,129
2000.02,아루바,13,126,1,0,126
2000.02,니제르,4,122,2,"26,393","-26,271"
2000.02,불령 가이아나,9,121,0,0,121
2000.02,가봉,6,120,9,"24,784","-24,664"
2000.02,나미비아,9,105,8,287,-182
2000.02,타지크,5,104,11,681,-577
2000.02,부룬디,5,93,0,0,93
2000.02,말라위,5,91,0,0,91
2000.02,바누아투,7,87,0,0,87
2000.02,잠비아,9,84,2,343,-259
2000.02,콩고민주공화국,3,84,1,0,84
2000.02,아르메니아,2,79,0,0,79
2000.02,사모아,8,77,0,0,77
2000.02,가이아나,8,76,0,0,76
2000.02,앙귈라,2,68,0,0,68
2000.02,불령 폴리네시아,11,58,0,0,58
2000.02,감비아,9,55,0,0,55
2000.02,세이쉘,3,47,0,0,47
2000.02,카보 베르데,7,46,0,0,46
2000.02,솔로몬 군도,9,44,10,"1,968","-1,924"
2000.02,네덜란드 열도,11,43,0,0,43
2000.02,몰디브,2,42,0,0,42
2000.02,아메리칸 사모아,4,42,1,12,30
2000.02,리히텐슈타인,2,42,3,31,11
2000.02,통가,4,35,0,0,35
2000.02,쿡 아일랜드,4,35,0,0,35
2000.02,보스니아-헤르체고비나,1,21,0,0,21
2000.02,세인트 키츠 네비스,3,19,0,0,19
2000.02,그레나다,5,17,0,0,17
2000.02,세인트 루시아,5,16,0,0,16
2000.02,투르크 & 카이코스 군도,1,11,0,0,11
2000.02,모나코,2,6,16,287,-281
2000.02,안타티카,1,3,0,0,3
2000.02,산마리노,4,1,0,0,1
2000.02,중앙아프리카공화국,0,0,2,30,-30
2000.02,크리스마스 아일랜드,0,0,1,47,-47
2000.02,라이베리아,1,0,3,3,-3
2000.02,세인트 피레 미켈론,0,0,0,0,0
2000.02,세인트 헬레나,0,0,1,42,-42
2000.02,안도라,0,0,3,113,-113
2000.02,기네비소,0,0,3,407,-407
2000.02,이라크,0,0,1,"24,214","-24,214"
2000.02,마샬군도,0,0,0,0,0
2000.02,키리바티,0,0,0,0,0
2000.02,북한,0,0,5,284,-284
2000.03,미국,"53,253","2,995,794","62,568","2,607,380","388,414"
2000.03,일본,"43,400","1,718,232","76,617","2,935,699","-1,217,468"
2000.03,중국,"33,135","1,441,009","35,336","1,125,348","315,661"
2000.03,홍콩,"25,955","912,875","6,956","130,961","781,914"
2000.03,대만,"9,664","700,571","12,699","386,855","313,716"
2000.03,싱가포르,"8,547","531,265","7,618","364,767","166,498"
2000.03,영국,"7,198","472,362","6,225","197,211","275,151"
2000.03,파나마,759,"379,439",6,114,"379,325"
2000.03,캐나다,"5,135","358,761","2,730","225,344","133,417"
2000.03,독일,"7,732","354,751","16,910","463,624","-108,873"
2000.03,말레이시아,"5,912","340,832","5,543","469,489","-128,657"
2000.03,필리핀,"6,594","311,736","3,167","177,377","134,358"
2000.03,인도네시아,"11,250","296,773","3,146","505,113","-208,340"
2000.03,호주,"5,941","212,642","3,012","534,157","-321,515"
2000.03,멕시코,"4,767","205,962",566,"24,452","181,510"
2000.03,네덜란드,"3,760","201,823","2,362","106,671","95,152"
2000.03,태국,"6,521","170,162","3,514","144,303","25,859"
2000.03,이란,548,"169,804",93,"227,833","-58,029"
2000.03,스페인,"3,109","156,810","1,340","24,890","131,920"
2000.03,아랍에미리트 연합,"4,511","155,058",253,"396,814","-241,755"
2000.03,이탈리아,"3,633","151,589","7,788","148,272","3,318"
2000.03,인도,"3,444","147,206","2,097","84,936","62,270"
2000.03,프랑스,"3,248","134,684","5,312","226,686","-92,002"
2000.03,베트남,"5,982","132,400","1,275","25,743","106,657"
2000.03,브라질,"2,037","132,212",447,"61,940","70,272"
2000.03,터키,"1,606","105,862",116,"3,101","102,761"
2000.03,사우디아라비아,"2,060","100,252",243,"783,324","-683,071"
2000.03,벨기에,"1,713","90,915","1,304","60,896","30,019"
2000.03,그리스,714,"85,371",74,"5,175","80,196"
2000.03,노르웨이,525,"71,487",662,"26,333","45,153"
2000.03,방글라데시,"2,960","64,914",99,"1,592","63,322"
2000.03,러시아 연방,"1,808","60,823",777,"133,984","-73,161"
2000.03,마샬군도,17,"59,981",0,21,"59,960"
2000.03,폴란드,"1,178","58,154",141,"6,021","52,133"
2000.03,아일랜드,624,"53,867",586,"62,341","-8,474"
2000.03,베네주엘라,381,"49,649",23,648,"49,001"
2000.03,이스라엘,"1,358","46,711",592,"46,624",87
2000.03,라이베리아,14,"45,528",0,0,"45,528"
2000.03,핀란드,781,"41,556",728,"43,406","-1,850"
2000.03,아르헨티나,774,"41,156",68,"19,058","22,098"
2000.03,칠레,971,"41,020",262,"78,626","-37,606"
2000.03,스리랑카,"1,768","38,605",232,"6,560","32,045"
2000.03,과테말라,"1,066","38,093",59,"9,141","28,951"
2000.03,스웨덴,"1,082","34,833","1,636","56,954","-22,120"
2000.03,파키스탄,"1,090","33,749",909,"26,517","7,232"
2000.03,바하마,40,"33,346",1,95,"33,251"
2000.03,이집트,751,"33,185",49,"2,048","31,137"
2000.03,남아프리카공화국,"1,588","32,600",503,"67,356","-34,755"
2000.03,스위스,783,"29,529","2,586","76,377","-46,847"
2000.03,뉴질랜드,"1,420","27,867","1,138","64,979","-37,112"
2000.03,몰타,53,"24,278",68,"2,501","21,777"
2000.03,포루투갈,626,"24,244",87,"1,762","22,482"
2000.03,덴마크,664,"22,047","1,389","32,579","-10,533"
2000.03,알제리,132,"21,139",3,0,"21,139"
2000.03,기타국,565,"20,353","8,239","1,364","18,989"
2000.03,오스트리아,593,"20,327",855,"18,739","1,588"
2000.03,나이지리아,799,"19,191",4,71,"19,121"
2000.03,헝가리,584,"17,043",292,"11,777","5,266"
2000.03,페루,464,"16,137",38,"6,961","9,177"
2000.03,콜롬비아,409,"15,940",39,"5,217","10,723"
2000.03,요르단,554,"15,141",15,"1,844","13,297"
2000.03,미얀마,746,"14,767",75,"2,391","12,377"
2000.03,도미니카 공화국,407,"14,723",11,269,"14,454"
2000.03,시리아,365,"14,668",2,0,"14,668"
2000.03,푸에르토리코,160,"13,690",49,"1,232","12,458"
2000.03,루마니아,219,"12,178",42,"3,005","9,172"
2000.03,오만,166,"11,803",38,"80,124","-68,322"
2000.03,우크라이나,352,"11,102",98,"30,502","-19,400"
2000.03,리비아,355,"11,024",3,2,"11,022"
2000.03,코스타리카,421,"10,911",45,"3,437","7,474"
2000.03,쿠웨이트,374,"10,853",57,"222,129","-211,275"
2000.03,온두라스,242,"10,613",16,"2,116","8,497"
2000.03,우루과이,259,"10,343",20,633,"9,710"
2000.03,우즈베크,148,"10,030",109,"13,918","-3,888"
2000.03,캄보디아,475,"9,779",6,108,"9,671"
2000.03,모로코,210,"8,812",53,"3,394","5,418"
2000.03,레바논,314,"8,720",18,690,"8,030"
2000.03,카자흐스탄,251,"7,629",36,"11,589","-3,960"
2000.03,북마리아나 군도,363,"7,488",5,211,"7,277"
2000.03,카타르,121,"7,474",26,"150,215","-142,742"
2000.03,슬로베니아,130,"6,892",54,"1,081","5,811"
2000.03,아프카니스탄,700,"6,352",1,19,"6,333"
2000.03,튀니지,143,"5,696",8,357,"5,339"
2000.03,체코공화국,250,"5,676",176,"11,561","-5,885"
2000.03,엘살바도르,215,"5,567",8,58,"5,509"
2000.03,마카오,247,"5,232",12,121,"5,111"
2000.03,가나,238,"4,843",4,403,"4,440"
2000.03,몽골,312,"4,507",21,177,"4,330"
2000.03,모리셔스,140,"4,348",2,4,"4,344"
2000.03,에쿠아도르,151,"4,284",20,"34,732","-30,448"
2000.03,케냐,147,"4,210",16,225,"3,985"
2000.03,니카라과,182,"3,909",0,3,"3,906"
2000.03,수단,82,"2,882",14,"2,417",465
2000.03,예맨,91,"2,808",5,"46,633","-43,826"
2000.03,파라과이,74,"2,708",0,0,"2,708"
